05/2012,PRINCETON TWP,Commercial,"154,881.930 THM",279,"5,351,604.000 KWH",713
05/2012,PRINCETON TWP,Industrial,"1,265.794 THM",8,"27,847.000 KWH",18
05/2012,PRINCETON TWP,Residential,"273,199.515 THM","4,849","3,938,124.000 KWH","6,024"
05/2012,PRINCETON TWP,Street Lighting,,,"91,420.000 KWH",96
06/2012,PRINCETON BORO,Commercial,"1,207,291.046 THM",449,"13,524,700.000 KWH",886
06/2012,PRINCETON BORO,Industrial,"1,860.049 THM",18,"27,815.000 KWH",29
06/2012,PRINCETON BORO,Residential,"62,134.148 THM","3,100","2,286,246.000 KWH","3,911"
06/2012,PRINCETON BORO,Street Lighting,,,"42,127.000 KWH",49
06/2012,PRINCETON TWP,Commercial,"100,522.715 THM",277,"6,027,456.000 KWH",730
06/2012,PRINCETON TWP,Industrial,546.213 THM,8,"30,349.000 KWH",19
06/2012,PRINCETON TWP,Residential,"141,720.849 THM","4,940","5,644,326.000 KWH","6,061"
06/2012,PRINCETON TWP,Street Lighting,,,"87,088.000 KWH",94
